@relation 'generators.SEAGenerator -b'

@attribute attrib1 numeric
@attribute attrib2 numeric
@attribute attrib3 numeric
@attribute class {groupA,groupB}

@data

7.308782,4.100808,2.077148,groupB
1.595781,5.540723,9.109505,groupA
6.598927,1.567469,3.78202,groupB
2.750299,0.753878,6.105915,groupA
2.049135,6.233638,1.847071,groupB
1.26575,1.302087,2.062759,groupA
8.899088,0.383269,5.923792,groupB
3.40915,2.657896,1.166703,groupB
3.080929,7.173224,9.624146,groupB
3.589946,2.424783,8.011571,groupA
5.878158,7.891907,6.990066,groupB
0.901466,4.374227,3.207844,groupA
6.311899,2.07978,8.803573,groupB
1.396138,5.965788,9.472602,groupA
6.799354,2.800016,6.039837,groupB
3.386553,2.991263,0.842521,groupB
7.638205,4.277001,9.991834,groupB
0.083517,5.46374,8.3552,groupA
8.805987,6.304014,9.288937,groupB
2.559627,2.413356,4.242532,groupA
3.786229,7.866092,7.127522,groupB
0.627866,5.47224,0.754076,groupA
3.226692,5.127188,4.786759,groupA
0.410431,4.496849,2.678979,groupA
7.190757,7.779503,2.881007,groupB
0.358949,3.764263,3.924705,groupA
7.76991,2.422761,1.75702,groupB
4.075749,3.356578,1.378807,groupA
5.946311,8.098898,5.149291,groupA
4.871372,0.720373,9.72016,groupB
5.837433,3.697525,9.45992,groupB
5.307896,1.8881,4.665753,groupA
3.197082,5.496925,5.222592,groupB
2.74585,4.152034,1.95444,groupA
9.690972,3.499857,2.728864,groupB
3.601931,0.973726,2.264571,groupA
7.660328,2.087816,9.451021,groupB
0.965814,1.443545,5.405351,groupA
2.148099,8.337721,2.557163,groupB
2.981654,1.588645,3.606739,groupA
8.822352,8.799772,0.604599,groupB
2.707313,4.816024,7.181458,groupA
8.643764,7.989182,3.497806,groupB
3.459391,1.149573,7.934889,groupA
4.124413,5.292557,6.330507,groupB
3.102073,2.678982,3.060861,groupA
8.898259,0.276626,6.119491,groupB
2.405785,5.126287,3.057186,groupA
8.844654,6.57482,6.432766,groupB
3.436425,0.261421,0.017997,groupB
9.129808,9.436929,9.344963,groupB
0.951421,4.085747,8.219769,groupA
4.477218,4.135089,4.656121,groupB
3.746397,4.099606,7.304999,groupA
8.112782,5.296247,7.213565,groupA
1.297465,4.072297,2.713869,groupA
5.389939,8.048523,8.496382,groupB
3.311718,4.036361,0.697415,groupB
4.868692,9.167131,4.716735,groupB
4.379751,2.791973,4.478554,groupA
6.168265,4.91836,8.508216,groupB
1.061544,3.913521,7.504615,groupA
7.473469,6.817735,9.62371,groupB
3.098979,3.577495,3.37169,groupB
3.445395,7.592865,2.037151,groupB
1.610311,2.864314,4.259272,groupA
0.785287,8.941969,5.680625,groupB
1.838411,0.25054,9.059668,groupA
7.11561,1.335661,5.51488,groupB
3.884593,0.083323,1.213099,groupA
9.055215,2.685994,3.382783,groupB
0.30244,4.290805,0.601529,groupA
2.454007,6.921118,3.493713,groupA
5.826525,0.218149,9.511804,groupA
3.787368,9.957977,6.192863,groupB
3.908774,3.919591,0.449474,groupA
2.719231,8.336823,0.089387,groupB
0.85132,4.285501,5.556733,groupB
3.092437,8.45774,0.517353,groupA
4.046944,1.101715,9.558826,groupA
6.146917,7.365331,1.174607,groupB
3.126649,0.148084,7.501685,groupA
8.634361,6.9551,8.699604,groupB
1.608958,3.629822,5.170598,groupA
2.969061,6.080709,1.205546,groupB
2.155291,4.387277,0.158471,groupA
7.558579,3.52414,5.676982,groupB
3.221344,3.769585,4.596191,groupA
1.390918,8.661702,0.463863,groupB
4.07753,3.041234,0.36764,groupA
2.400966,8.472319,0.36824,groupB
2.07926,3.154719,6.336452,groupA
7.884283,2.53371,3.579727,groupB
1.075555,5.567608,0.152584,groupA
4.183752,9.919663,4.329919,groupB
2.05911,2.933958,6.24684,groupA
9.688505,6.240786,0.363723,groupB
5.389471,1.764033,4.820704,groupA
8.447221,9.294991,1.999076,groupB
0.391321,3.698043,6.936168,groupA
8.388465,6.939783,7.686637,groupB
1.764081,5.417378,7.966013,groupA
9.336482,3.794572,9.386233,groupB
6.165394,0.302342,6.688943,groupA
6.458159,2.71649,5.229164,groupB
2.673431,4.018196,4.991308,groupA
9.963642,0.07622,6.707627,groupB
2.783043,1.654682,6.169058,groupA
7.263757,0.885088,9.067835,groupB
3.26416,0.227334,6.423847,groupB
8.879425,4.803913,6.713935,groupB
4.969632,2.952259,8.623217,groupA
5.90051,9.377916,2.585037,groupA
7.933924,0.055701,0.358288,groupA
9.113702,2.452429,3.704305,groupB
0.862226,1.512968,6.671404,groupA
4.225,8.66156,6.326191,groupB
2.407573,0.377036,3.082813,groupA
0.953138,9.095476,1.27002,groupB
5.136233,1.28794,1.798387,groupB
3.496705,7.511952,4.014606,groupB
1.745455,1.773714,3.686451,groupA
8.133734,4.164414,9.370417,groupB
0.965466,1.552952,6.577202,groupA
1.281489,8.386033,1.465978,groupB
2.34158,0.73234,9.17513,groupA
1.226292,9.165067,8.533704,groupB
4.169065,2.470288,0.609491,groupA
3.239399,9.33097,5.360356,groupB
3.953918,0.414376,4.899971,groupA
5.005757,9.779357,6.948141,groupB
5.341226,0.592251,8.142411,groupA
4.493185,9.189228,1.57296,groupB
4.46116,0.903912,6.92595,groupA
0.840449,8.76663,1.404173,groupB
1.888529,5.3602,9.307747,groupA
9.894017,7.718692,0.591832,groupB
0.333218,3.851972,6.772137,groupA
7.604303,5.735554,4.720836,groupB
0.367987,4.910407,7.688936,groupA
6.388686,3.808948,9.680759,groupB
1.278871,1.567243,4.317808,groupA
2.189917,7.399774,6.265039,groupB
0.164948,7.005658,2.99651,groupB
5.389937,7.709903,6.986326,groupB
1.931869,4.012733,6.708807,groupA
7.910302,4.403624,8.182811,groupB
4.823806,1.835509,6.330481,groupA
8.697679,0.994046,9.204513,groupA
0.929378,2.127831,7.40848,groupA
